species_ID,chlorophyll_SPAD,chlorophyll_mod,fruit_mass,seed_mass,LMA,leaf_area,wood_density,max_tree_height,max_tree_height_3,leaf_N,leaf_C,leaf_P
species_1,50,59.24,0.07,14.39,0.91,82.5,0.79,4.5,8.5,1.18,50.55,0.22
species_2,47.4,54.72,0.22,30.38,1.94,34.35,0.74,6.8,6.1,1.04,49.59,0.18
species_3,59.2,77.34,0.14,41.5,1.23,41.42,0.75,3.6,5.2,1.46,48.31,0.26
species_4,46.05,52.46,0.13,0.51,1.47,34.46,0.77,2.5,4,1.22,46.88,0.15
species_5,54.45,67.55,NA,14.73,1.17,15.23,0.78,7,8.3,0.92,54.64,0.15
species_6,43.4,48.2,0.51,2.51,1.43,46.24,0.7,2.5,4.4,1.02,53.35,0.18
species_7,41.4,45.12,0.01,6,0.56,114.29,0.5,2.6,3.9,1.38,49.22,0.29
species_8,57.9,74.56,0.59,88.55,1.72,30.15,0.89,5.6,12.3,0.63,54.69,0.49
species_9,56.8,72.27,0.2,74.51,0.79,50.37,0.64,7,3.2,2.35,51.04,0.31
species_10,NA,NA,NA,NA,1.17,12.35,0.73,2.5,4.2,1.01,49.62,0.27
species_11,49.25,57.91,0.02,11.44,0.9,22.39,0.38,6.2,4.1,1.72,48.92,0.36
species_12,56.3,71.24,0.21,7.08,1.4,75.15,0.66,7.5,5.1,1.06,52.5,0.59
species_13,NA,NA,NA,NA,NA,NA,NA,6,4.8,NA,NA,NA
species_15,38.4,40.72,0.24,NA,0.77,60.06,0.63,15.8,6.7,1.56,49.25,0.48
species_16,28.5,27.73,0.21,7.55,0.91,35.96,0.52,6.8,3.6,1.72,52.71,0.39
species_17,25.5,24.21,0.24,4.4,2.6,8.36,0.82,9,3.9,1.15,50.52,0.35
species_18,40.75,44.15,1.04,16.43,1.45,54.13,0.57,3.5,3.3,0.93,48,0.78
species_19,62.9,85.71,0.04,0.28,1.22,3.66,0.65,8,2,1.21,45.99,0.5
species_20,54.5,67.65,NA,43.37,0.6,98.58,0.51,4.1,2.2,0.96,49.74,0.51
species_21,38.1,40.29,0.05,0.15,0.83,45.93,0.44,2.6,1.5,1.51,48.97,0.51
species_22,52.83,64.44,0.03,19,1.7,22.68,0.88,10.5,6.7,1.63,55.97,0.2
species_23,43.85,48.91,0.07,11.94,1.11,39.56,0.76,5.8,7.2,1.31,49.64,0.25
species_25,71.1,107.1,0.02,NA,0.99,40.35,0.7,7.5,4.9,1.79,51.44,0.18
species_26,61.9,83.37,0.01,NA,1.14,32.68,0.84,10,6.2,1.93,52.6,0.52
species_28,41,44.52,0.4,NA,1.3,21.62,0.74,4.2,5.1,1.47,55.52,0.3
species_32,54.9,68.44,1.46,52.24,0.55,47.74,0.74,7,4.4,2.24,49.04,0.51
species_33,41,44.52,0.24,0.04,1.32,21.1,0.74,5,2,1.12,47.69,0.26
species_34,41.6,45.42,0.32,2.35,1.05,60.39,0.8,4.2,2.2,1.23,46.2,0.26
species_35,66.3,94.06,0.43,0.13,1.12,57.63,0.82,4,1.8,1.01,47.06,0.13
species_36,52.9,64.57,0.52,117.57,1.06,45.58,0.77,2.2,5.8,1.8,47.01,0.21
species_37,43.6,48.51,20.03,324.23,0.67,57.66,0.53,6.5,9.3,2.79,50.56,1.16
species_38,61.2,81.77,0.38,433,1.61,32.68,0.88,8.5,6.7,1.72,55.5,0.31
species_39,21.2,19.45,2.47,NA,1.03,122.73,0.67,6.5,6.9,1.34,51.27,0.31
species_40,45.85,52.13,NA,0.33,0.98,15.46,0.72,3.2,5,1.05,46.47,0.19
species_41,44.5,49.94,0.76,326,1.37,58.25,0.67,4.5,5.1,0.89,54.19,0.13
species_43,64,88.34,0.33,265.6,1.28,39.02,0.56,6.2,3.9,1.12,51.87,0.25
species_44,38.7,41.15,NA,NA,1.12,26.48,0.83,4,4.5,1.42,51.97,0.29
