id,basisOfRecord,occurrenceID,recordedBy,eventDate,islandGroup,country,countryCode,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,identificationQualifier,scientificName,kingdom,family,taxonRank
plant-occurrences_raja-ampat_j-schrader_2020_1,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_1,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.520461,130.5808,WGS84,30,,Glochidion castaneum Airy Shaw,Plantae,Phyllanthaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_10,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_10,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.515023,130.569425,WGS84,30,,Ixora timorensis Decne.,Plantae,Rubiaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_100,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_100,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.522155,130.580769,WGS84,30,,Ficus pedunculosa Miq.,Plantae,Moraceae,species
plant-occurrences_raja-ampat_j-schrader_2020_101,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_101,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.517649,130.584401,WGS84,30,,Ficus prasinicarpa Elmer,Plantae,Moraceae,species
plant-occurrences_raja-ampat_j-schrader_2020_102,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_102,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.517649,130.584401,WGS84,30,,Ficus microcarpa L.f.,Plantae,Moraceae,species
plant-occurrences_raja-ampat_j-schrader_2020_103,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_103,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.517527,130.584195,WGS84,30,,Ficus tinctoria G.Forst.,Plantae,Moraceae,species
plant-occurrences_raja-ampat_j-schrader_2020_104,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_104,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.516095,130.583098,WGS84,30,,Rapanea rawacensis (A. DC.) Mez,Plantae,Primulaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_105,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_105,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.516095,130.583098,WGS84,30,,Aglaia elaeagnoidea (A.Juss.) Benth.,Plantae,Meliaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_106,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_106,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.516095,130.583098,WGS84,30,,Severinia lauterbachii Swingle,Plantae,Rutaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_107,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_107,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.516095,130.583098,WGS84,30,,Planchonella obovata (R.Br.) Pierre,Plantae,Sapotaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_108,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_108,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.520461,130.5808,WGS84,30,,Eugenia reinwardtiana (Blume) A.Cunn. ex DC.,Plantae,Myrtaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_109,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_109,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.520461,130.5808,WGS84,30,,Lunasia amara Blanco,Plantae,Rutaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_11,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_11,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.516626,130.572132,WGS84,30,,Podocarpus neriifolius D.Don,Plantae,Podocarpaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_111,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_111,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.517587,130.568534,WGS84,30,,Tarenna sambucina (G.Forst.) T.Durand ex Drake,Plantae,Rubiaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_112,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_112,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.517587,130.568534,WGS84,30,,Exocarpos latifolius R.Br.,Plantae,Santalaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_113,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_113,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.517587,130.568534,WGS84,30,,Syzygium nitidum Benth.,Plantae,Myrtaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_114,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_114,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.517587,130.568534,WGS84,30,,Guettarda speciosa L.,Plantae,Rubiaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_115,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_115,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.517875,130.568515,WGS84,30,,Pemphis acidula J.R. Forst. & G. Forst.,Plantae,Lythraceae,species
plant-occurrences_raja-ampat_j-schrader_2020_116,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_116,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.515251,130.568484,WGS84,30,,Guettarda speciosa L.,Plantae,Rubiaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_117,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_117,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.515023,130.569425,WGS84,30,,Rapanea rawacensis (A. DC.) Mez,Plantae,Primulaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_118,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_118,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.515023,130.569425,WGS84,30,,Phyllanthus praelongipes Airy Shaw & G.L.Webster,Plantae,Phyllanthaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_119,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_119,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.516626,130.572132,WGS84,30,,Severinia lauterbachii Swingle,Plantae,Rutaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_12,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_12,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.516626,130.572132,WGS84,30,,Ficus microcarpa L.f.,Plantae,Moraceae,species
plant-occurrences_raja-ampat_j-schrader_2020_120,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_120,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.516626,130.572132,WGS84,30,,Diospyros maritima Blume,Plantae,Ebenaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_122,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_122,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.514338,130.570002,WGS84,30,,Ixora timorensis Decne.,Plantae,Rubiaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_123,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_123,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.514338,130.570002,WGS84,30,,Guettarda speciosa L.,Plantae,Rubiaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_124,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_124,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.516795,130.570633,WGS84,30,,Ixora timorensis Decne.,Plantae,Rubiaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_125,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_125,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.516795,130.570633,WGS84,30,,Rapanea rawacensis (A. DC.) Mez,Plantae,Primulaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_126,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_126,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.51154,130.562918,WGS84,30,,Ficus microcarpa L.f.,Plantae,Moraceae,species
plant-occurrences_raja-ampat_j-schrader_2020_127,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_127,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.51154,130.562918,WGS84,30,,Ficus pedunculosa Miq.,Plantae,Moraceae,species
plant-occurrences_raja-ampat_j-schrader_2020_128,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_128,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.51154,130.562918,WGS84,30,,Guettarda speciosa L.,Plantae,Rubiaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_129,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_129,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.512876,130.560728,WGS84,30,,Rapanea rawacensis (A. DC.) Mez,Plantae,Primulaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_13,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_13,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.514338,130.570002,WGS84,30,,Cupaniopsis Radlk.,Plantae,Sapindaceae,genus
plant-occurrences_raja-ampat_j-schrader_2020_130,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_130,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.516975,130.587849,WGS84,30,,Glochidion castaneum Airy Shaw,Plantae,Phyllanthaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_131,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_131,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.517134,130.588345,WGS84,30,,Rapanea rawacensis (A. DC.) Mez,Plantae,Primulaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_132,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_132,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.517134,130.588345,WGS84,30,,Eugenia reinwardtiana (Blume) A.Cunn. ex DC.,Plantae,Myrtaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_133,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_133,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.517134,130.588345,WGS84,30,,Wikstroemia androsaemifolia Decne.,Plantae,Thymelaeaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_134,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_134,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.506466,130.593247,WGS84,30,,Wikstroemia androsaemifolia Decne.,Plantae,Thymelaeaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_135,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_135,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.506466,130.593247,WGS84,30,,Rapanea rawacensis (A. DC.) Mez,Plantae,Primulaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_136,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_136,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.515559,130.587233,WGS84,30,,Eugenia reinwardtiana (Blume) A.Cunn. ex DC.,Plantae,Myrtaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_137,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_137,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.515559,130.587233,WGS84,30,,Tarenna sambucina (G.Forst.) T.Durand ex Drake,Plantae,Rubiaceae,species
